"version","enroadnodeid","enroadnodetype","enroadnodename","enstationid","enhex","exroadnodeid","exroadnodetype","exroadnodename","exstationid","exhex","miles"
"6120231210001","G000561001001120","1","富平东匝道-荆姚匝道",,,"G000561001001020","1","荆姚匝道-蒲城匝道",,,"14436"
"6120231210001","G000561001001120","1","富平东匝道-荆姚匝道",,,"G000561001002120","1","荆姚-荆姚站",,,"14436"
"6120231210001","G000561001001210","1","富平匝道-阎禹交界点",,,"G000561002000110","1","阎禹交界点-阎良匝道",,,"7545"
"6120231210001","G000561001001220","1","阎禹交界点-富平匝道",,,"G000561001002520","1","富平匝道-富平东匝道",,,"7545"
"6120231210001","G000561001001220","1","阎禹交界点-富平匝道",,,"G000561001002220","1","富平-富平站",,,"7545"
"6120231210001","G000561001001310","1","龙门工业园站-龙门工业园",,,"G000561001000120","2","工业园匝道-禹门口省界",,,"0"
"6120231210001","G000561001001310","1","龙门工业园站-龙门工业园",,,"G000561001000210","1","工业园匝道-龙门匝道",,,"0"
"6120231210001","G000561001001320","1","龙门工业园-龙门工业园站",,,"G0005610010110","3","陕西龙门工业园收费站",,"61012866","0"
"6120231210001","G000561001001410","1","龙门站-龙门",,,"G000561001000220","1","龙门匝道-工业园匝道",,,"0"
"6120231210001","G000561001001410","1","龙门站-龙门",,,"G000561001000310","1","龙门匝道-韩城匝道",,,"0"
"6120231210001","G000561001001420","1","龙门-龙门站",,,"G0005610010020","3","陕西龙门收费站",,"61012864","0"
"6120231210001","G000561001001510","1","韩城站-韩城",,,"G000561001000320","1","韩城匝道-龙门匝道",,,"0"
"6120231210001","G000561001001510","1","韩城站-韩城",,,"G000561001000410","1","韩城匝道-芝川匝道",,,"0"
"6120231210001","G000561001001520","1","韩城-韩城站",,,"G0005610010030","3","陕西韩城收费站",,"61012863","0"
"6120231210001","G000561001001610","1","芝川站-芝川",,,"G000561001000420","1","芝川匝道-韩城匝道",,,"0"
